0.06 0.03  2742	29.8
0.06 0.01  2753	47.8
0.01 0.01  2761	60.6
0.01 0.01  2778	69
0.10 0.03  2790	111.4
0.09 0.03  2797	132.4
0.10 0.04  2816	162.6
0.07 0.04  2817	169.8
0.10 0.06  2846	323.8
0.09 0.01  2864	372.6
0.08 0.01  2864	435.8
0.06 0.01  2862	462.8
0.08 0.01  2862	557.4
0.10 0.08  2863	870.6
0.10 0.04  2863	858.2
