0.02 0.09  2704	26.8
0.02 0.10  2733	40.6
0.02 0.09  2743	53
0.01 0.01  2778	69
0.01 0.01  2782	77.4
0.01 0.01  2792	84.8
0.01 0.01  2792	90.2
0.01 0.01  2795	98
0.01 0.01  2792	137
0.01 0.01  2818	199
0.01 0.01  2821	253.2
0.01 0.01  2829	306.2
0.01 0.01  2839	351.8
0.01 0.01  2851	410.6
0.01 0.01  2854	462
